transaction_amount,transaction_amount_bin,avg_amount_deviation_sigma,merchant_category,merchant_risk_score,merchant_category_vs_history,geo_velocity_kmh,geo_velocity_bin,geo_distance_km,geo_distance_bin,merchant_location,country_consistency,ip_address_type,device_fingerprint_match,session_duration_sec,session_duration_bin,network_carrier_type,cards_on_device_30d,cvv_match_status,three_ds_auth_result,tokenization_used,failed_attempts_before_success,transaction_velocity_1h,time_of_transaction,account_credential_change_recency,card_present_cnp,order_shipping_speed,account_age_days,chargeback_history_count,customer_id,transaction_id,segment,customer_type,is_fraud
56.25,medium,0.04,grocery,low_risk,frequent_category,9.5,normal,1.1,same_location,same_country,same_country,corporate,known_device,33.9,normal,mobile_data,3,cvv2_match,challenge_pass,raw_pan_manual_entry,0,within_normal,evening_18_24,no_recent_change,card_present_chip,standard,1896,0,CUST_A_0075638,TXN_18_0050946,A_established,customer_based,0
473.26,medium,0.39,retail,medium_risk,frequent_category,5.0,normal,2.6,same_location,neighboring_country,same_country,corporate,new_device,136.0,normal,wifi,2,cvv2_match,frictionless_pass,raw_pan_online,0,within_normal,afternoon_12_18,no_recent_change,card_present_swipe,standard,362,0,CUST_B_0029095,TXN_26_0216220,B_regular,customer_based,0
153.49,medium,0.47,utility,low_risk,no_history,4.8,normal,18.3,same_location,same_country,same_country,residential,known_device,418.3,slow,mobile_data,2,icvv_match,frictionless_pass,raw_pan_online,0,within_normal,evening_18_24,not_applicable,cnp_online,standard,0,0,GUEST_57_124040,TXN_57_0124040,D_guest,global,0
207.39,medium,2.23,electronics,high_risk,frequent_category,1.7,normal,2.0,same_location,home_city,same_country,corporate,new_device,98.3,normal,wifi,2,cvv2_match,challenge_pass,issuer_token,0,within_normal,morning_6_12,no_recent_change,card_present_chip,standard,369,0,CUST_B_0055747,TXN_39_0004162,B_regular,customer_based,0
5.95,low,1.18,healthcare,low_risk,no_history,4.8,normal,0.4,same_location,neighboring_country,same_country,residential,known_device,90.1,normal,mobile_data,2,cvv2_match,not_enrolled,issuer_token,0,within_normal,morning_6_12,not_applicable,cnp_online,standard,0,0,GUEST_59_21586,TXN_59_0021586,D_guest,global,0
25.69,low,0.13,restaurant,medium_risk,frequent_category,0.1,normal,1.9,same_location,home_city,same_country,residential,known_device,323.6,slow,wifi,3,cvv2_match,challenge_fail,emv_chip_token,0,within_normal,afternoon_12_18,no_recent_change,card_present_chip,in_store_pickup,1677,0,CUST_A_0026733,TXN_19_0062860,A_established,customer_based,0
2351.59,very_high,7.6,luxury,very_high_risk,no_history,205.6,fast,6.1,same_location,foreign_far,high_risk_country,datacenter,spoofed,1.0,bot_speed,corporate_vpn,2,cvv2_match,challenge_fail,raw_pan_manual_entry,0,burst_pattern,late_night_0_5,not_applicable,cnp_online,same_day,0,0,GUEST_56_162079,TXN_56_0162079,D_guest,global,1
13.45,low,0.05,travel,high_risk,frequent_category,4.0,normal,0.5,same_location,home_city,frequent_travel_country,residential,unknown_device,83.7,normal,mobile_data,1,icvv_match,challenge_pass,network_token_wallet,0,2x_baseline,late_night_0_5,no_recent_change,card_present_chip,standard,30,0,CUST_C_0156762,TXN_44_0178160,C_new,customer_based,0
22.01,low,0.75,healthcare,low_risk,no_history,2.7,normal,0.7,same_location,foreign_far,same_country,residential,known_device,74.3,normal,mobile_data,1,cvv2_match,challenge_pass,issuer_token,0,2x_baseline,evening_18_24,not_applicable,cnp_moto,overnight,0,0,GUEST_56_246987,TXN_56_0246987,D_guest,global,0
241.61,medium,6.68,electronics,high_risk,occasional_category,732.3,impossible,5033.6,long,foreign_far,high_risk_country,datacenter,new_device,44.1,normal,corporate_vpn,5,not_provided,challenge_fail,raw_pan_online,0,burst_pattern,evening_18_24,no_recent_change,cnp_online,same_day,1291,0,CUST_A_0004477,TXN_7_0081521,A_established,customer_based,1
2.32,low,1.93,retail,medium_risk,frequent_category,626.4,impossible,907.7,long,foreign_far,high_risk_country,vpn,emulator,164.7,normal,wifi,4,icvv_match,bypassed,raw_pan_online,2,burst_pattern,morning_6_12,changed_1_7d_ago,cnp_online,overnight,661,0,CUST_B_0068818,TXN_40_0087802,B_regular,customer_based,1
77.13,medium,0.24,grocery,low_risk,frequent_category,95.4,fast,0.9,same_location,home_city,frequent_travel_country,proxy,new_device,305.3,slow,datacenter_hosting,3,cvv2_match,frictionless_pass,network_token_wallet,0,5x_baseline,afternoon_12_18,no_recent_change,contactless,standard,612,0,CUST_B_0118624,TXN_27_0175675,B_regular,customer_based,0
423.15,medium,4.06,grocery,low_risk,frequent_category,25.9,normal,15.5,same_location,home_city,same_country,residential,known_device,362.9,slow,corporate_vpn,3,cvv2_match,challenge_pass,raw_pan_online,0,within_normal,morning_6_12,no_recent_change,cnp_moto,standard,434,0,CUST_B_0121269,TXN_36_0248087,B_regular,customer_based,0
499.63,medium,10.0,electronics,high_risk,no_history,1250.8,impossible,1440.5,long,foreign_far,high_risk_country,tor,spoofed,46.5,normal,wifi,5,icvv_match,challenge_fail,emv_chip_token,2,5x_baseline,afternoon_12_18,not_applicable,cnp_online,overnight,0,0,GUEST_59_92073,TXN_59_0092073,D_guest,global,1
763.45,high,8.07,crypto_giftcard,very_high_risk,never_before_category,132.4,fast,20.9,same_location,foreign_far,new_country,datacenter,emulator,4.9,bot_speed,datacenter_hosting,14,not_provided,challenge_fail,raw_pan_manual_entry,2,2x_baseline,evening_18_24,changed_7_30d_ago,cnp_online,standard,531,0,CUST_B_0090881,TXN_35_0229515,B_regular,customer_based,1
131.96,medium,10.0,travel,high_risk,rare_category,1853.2,impossible,1523.0,long,foreign_far,new_country,vpn,emulator,97.8,normal,mobile_data,7,cvv2_mismatch,bypassed,raw_pan_online,2,5x_baseline,evening_18_24,changed_within_24h,manual_entry,same_day,22,0,CUST_C_0136001,TXN_45_0024809,C_new,customer_based,1
4.76,low,1.84,crypto_giftcard,very_high_risk,never_before_category,23.7,normal,8.9,same_location,foreign_far,frequent_travel_country,tor,emulator,80.4,normal,wifi,6,not_provided,challenge_fail,raw_pan_online,1,burst_pattern,late_night_0_5,changed_1_7d_ago,contactless,same_day,2418,0,CUST_A_0044559,TXN_12_0102956,A_established,customer_based,1
220.97,medium,0.39,utility,low_risk,frequent_category,1.5,normal,2.9,same_location,home_city,same_country,residential,known_device,289.6,slow,datacenter_hosting,1,cvv2_match,not_enrolled,raw_pan_online,0,within_normal,late_night_0_5,no_recent_change,contactless,standard,592,0,CUST_B_0080661,TXN_35_0115237,B_regular,customer_based,0
80.08,medium,1.38,electronics,high_risk,frequent_category,26.4,normal,2.7,same_location,neighboring_country,same_country,residential,known_device,46.1,normal,mobile_data,1,cvv2_match,frictionless_pass,network_token_wallet,0,within_normal,afternoon_12_18,no_recent_change,cnp_moto,standard,154,0,CUST_C_0046514,TXN_52_0193300,C_new,customer_based,0
0.75,low,1.75,luxury,very_high_risk,occasional_category,15.0,normal,11.8,same_location,home_city,new_country,residential,unknown_device,477.1,slow,datacenter_hosting,6,cvv2_mismatch,challenge_fail,raw_pan_manual_entry,3,2x_baseline,late_night_0_5,changed_7_30d_ago,cnp_online,expedited,176,1,CUST_C_0129415,TXN_52_0078650,C_new,customer_based,1
831.78,high,10.0,electronics,high_risk,never_before_category,3.0,normal,19.6,same_location,same_country,new_country,tor,emulator,1.1,bot_speed,datacenter_hosting,13,cvv2_mismatch,not_enrolled,raw_pan_online,0,2x_baseline,evening_18_24,changed_within_24h,cnp_online,overnight,2759,0,CUST_A_0105455,TXN_18_0051901,A_established,customer_based,1
2.3,low,1.66,luxury,very_high_risk,no_history,1134.7,impossible,6006.8,long,foreign_far,new_country,tor,emulator,0.5,bot_speed,wifi,15,cvv2_mismatch,bypassed,raw_pan_manual_entry,1,5x_baseline,morning_6_12,not_applicable,contactless,overnight,0,0,GUEST_55_168006,TXN_55_0168006,D_guest,global,1
53.81,medium,1.02,utility,low_risk,occasional_category,3.9,normal,1.7,same_location,same_country,new_country,residential,known_device,50.0,normal,mobile_data,1,cvv2_match,challenge_pass,raw_pan_manual_entry,0,within_normal,afternoon_12_18,no_recent_change,card_present_chip,standard,1706,0,CUST_A_0095035,TXN_14_0054467,A_established,customer_based,0
63.24,medium,0.69,travel,high_risk,no_history,3.4,normal,1.8,same_location,home_city,same_country,residential,known_device,38.3,normal,mobile_data,1,cvv2_match,frictionless_pass,emv_chip_token,0,within_normal,afternoon_12_18,not_applicable,contactless,standard,0,0,GUEST_59_221875,TXN_59_0221875,D_guest,global,0
157.6,medium,4.31,healthcare,low_risk,occasional_category,35.3,normal,18.8,same_location,neighboring_country,high_risk_country,vpn,known_device,182.1,slow,wifi,1,cvv2_match,challenge_pass,raw_pan_online,5,within_normal,late_night_0_5,changed_1_7d_ago,card_present_swipe,standard,1856,0,CUST_A_0021055,TXN_2_0178446,A_established,customer_based,1
90.05,medium,1.5,retail,medium_risk,frequent_category,1.3,normal,2.1,same_location,home_city,frequent_travel_country,residential,known_device,268.2,slow,mobile_data,2,not_provided,challenge_pass,issuer_token,0,within_normal,afternoon_12_18,no_recent_change,card_present_chip,expedited,270,0,CUST_B_0083667,TXN_40_0183344,B_regular,customer_based,0
515.59,high,10.0,electronics,high_risk,frequent_category,709.2,impossible,2016.9,long,neighboring_country,new_country,tor,emulator,4.8,bot_speed,wifi,4,cvv2_mismatch,bypassed,raw_pan_online,2,burst_pattern,late_night_0_5,changed_within_24h,cnp_online,same_day,412,0,CUST_B_0067396,TXN_33_0145149,B_regular,customer_based,1
263.01,medium,0.04,travel,high_risk,frequent_category,18.8,normal,30.7,same_location,home_city,same_country,residential,known_device,137.3,normal,mobile_data,2,cvv2_match,not_enrolled,issuer_token,1,within_normal,evening_18_24,no_recent_change,card_present_chip,standard,3198,0,CUST_A_0046635,TXN_5_0125170,A_established,customer_based,0
126.99,medium,0.37,travel,high_risk,frequent_category,4.5,normal,5.8,same_location,same_country,frequent_travel_country,residential,known_device,134.6,normal,wifi,2,cvv2_match,not_enrolled,issuer_token,0,within_normal,evening_18_24,no_recent_change,cnp_moto,standard,1936,0,CUST_A_0058636,TXN_17_0190433,A_established,customer_based,0
2.65,low,1.85,electronics,high_risk,never_before_category,143.3,fast,145.3,short,home_city,new_country,proxy,spoofed,4.1,bot_speed,wifi,9,cvv2_mismatch,not_enrolled,raw_pan_online,2,2x_baseline,morning_6_12,changed_within_24h,manual_entry,overnight,200,0,CUST_B_0036880,TXN_29_0155623,B_regular,customer_based,1
257.99,medium,10.0,electronics,high_risk,no_history,49.9,normal,189.5,short,same_country,same_country,residential,new_device,34.0,normal,mobile_data,15,cvv2_mismatch,not_enrolled,raw_pan_manual_entry,4,5x_baseline,late_night_0_5,not_applicable,cnp_moto,expedited,0,0,GUEST_58_187844,TXN_58_0187844,D_guest,global,1
54.13,medium,0.27,healthcare,low_risk,frequent_category,15.6,normal,2.3,same_location,neighboring_country,same_country,residential,known_device,134.8,normal,wifi,2,icvv_match,frictionless_pass,raw_pan_online,0,2x_baseline,afternoon_12_18,no_recent_change,cnp_moto,expedited,347,2,CUST_B_0016964,TXN_25_0166715,B_regular,customer_based,0
365.77,medium,10.0,crypto_giftcard,very_high_risk,no_history,9.1,normal,12.9,same_location,neighboring_country,frequent_travel_country,vpn,emulator,30.3,normal,wifi,6,icvv_match,challenge_fail,raw_pan_manual_entry,1,burst_pattern,evening_18_24,not_applicable,manual_entry,same_day,0,0,GUEST_55_203505,TXN_55_0203505,D_guest,global,1
1029.85,high,10.0,crypto_giftcard,very_high_risk,occasional_category,2161.7,impossible,5826.9,long,foreign_far,new_country,vpn,known_device,30.2,normal,corporate_vpn,15,cvv2_mismatch,bypassed,raw_pan_manual_entry,3,burst_pattern,afternoon_12_18,changed_within_24h,cnp_online,overnight,617,0,CUST_B_0147731,TXN_36_0134847,B_regular,customer_based,1
380.54,medium,10.0,travel,high_risk,no_history,4.3,normal,3.7,same_location,same_country,high_risk_country,tor,spoofed,4.0,bot_speed,wifi,13,not_provided,challenge_fail,raw_pan_manual_entry,4,2x_baseline,late_night_0_5,not_applicable,cnp_online,expedited,0,0,GUEST_57_201335,TXN_57_0201335,D_guest,global,1
1395.21,high,10.0,luxury,very_high_risk,never_before_category,145.9,fast,28.5,same_location,home_city,new_country,proxy,emulator,3.9,bot_speed,wifi,4,cvv2_match,bypassed,raw_pan_online,6,burst_pattern,evening_18_24,changed_1_7d_ago,cnp_online,same_day,646,1,CUST_B_0126312,TXN_34_0104284,B_regular,customer_based,1
167.99,medium,0.25,utility,low_risk,no_history,3.6,normal,2.1,same_location,same_country,new_country,vpn,known_device,212.8,slow,corporate_vpn,2,cvv2_match,challenge_pass,emv_chip_token,0,within_normal,morning_6_12,not_applicable,contactless,standard,0,0,GUEST_58_113873,TXN_58_0113873,D_guest,global,0
309.44,medium,10.0,crypto_giftcard,very_high_risk,never_before_category,1291.8,impossible,6683.1,long,foreign_far,high_risk_country,residential,unknown_device,69.7,normal,wifi,6,cvv2_match,frictionless_pass,raw_pan_online,0,burst_pattern,evening_18_24,changed_7_30d_ago,contactless,standard,563,0,CUST_B_0019616,TXN_37_0029405,B_regular,customer_based,1
134.82,medium,8.16,travel,high_risk,rare_category,97.8,fast,42.9,same_location,neighboring_country,high_risk_country,proxy,unknown_device,16.8,very_fast,datacenter_hosting,8,cvv2_mismatch,not_enrolled,raw_pan_online,3,5x_baseline,late_night_0_5,changed_within_24h,manual_entry,overnight,416,0,CUST_B_0145298,TXN_25_0226403,B_regular,customer_based,1
359.94,medium,10.0,crypto_giftcard,very_high_risk,never_before_category,14.7,normal,0.2,same_location,neighboring_country,new_country,datacenter,emulator,3.1,bot_speed,wifi,10,not_provided,challenge_fail,raw_pan_online,2,5x_baseline,evening_18_24,changed_1_7d_ago,cnp_online,standard,1449,0,CUST_A_0096865,TXN_23_0197993,A_established,customer_based,1
5551.74,very_high,10.0,crypto_giftcard,very_high_risk,no_history,27.1,normal,30.6,same_location,neighboring_country,high_risk_country,proxy,spoofed,13.7,very_fast,datacenter_hosting,12,not_provided,challenge_fail,raw_pan_online,1,2x_baseline,late_night_0_5,not_applicable,cnp_online,overnight,0,0,GUEST_57_118943,TXN_57_0118943,D_guest,global,1
9.4,low,1.9,crypto_giftcard,very_high_risk,never_before_category,528.1,impossible,1621.7,long,foreign_far,new_country,vpn,emulator,37.4,normal,corporate_vpn,11,not_provided,bypassed,raw_pan_manual_entry,10,5x_baseline,late_night_0_5,changed_1_7d_ago,cnp_moto,overnight,122,0,CUST_C_0059951,TXN_51_0159281,C_new,customer_based,1
804.1,high,10.0,electronics,high_risk,never_before_category,1696.0,impossible,6639.4,long,neighboring_country,high_risk_country,residential,spoofed,57.8,normal,wifi,3,cvv2_mismatch,challenge_fail,raw_pan_online,0,within_normal,late_night_0_5,changed_1_7d_ago,cnp_online,overnight,3305,0,CUST_A_0099861,TXN_4_0069866,A_established,customer_based,1
145.57,medium,0.51,grocery,low_risk,frequent_category,3.3,normal,0.8,same_location,home_city,same_country,residential,new_device,173.2,normal,mobile_data,2,cvv2_match,challenge_pass,network_token_wallet,0,5x_baseline,afternoon_12_18,no_recent_change,cnp_online,expedited,950,0,CUST_A_0043734,TXN_9_0088055,A_established,customer_based,0
269.93,medium,10.0,electronics,high_risk,no_history,56.7,fast,18.1,same_location,foreign_far,high_risk_country,datacenter,emulator,0.5,bot_speed,mobile_data,12,cvv2_mismatch,challenge_fail,raw_pan_online,4,5x_baseline,late_night_0_5,not_applicable,cnp_online,same_day,0,0,GUEST_59_54691,TXN_59_0054691,D_guest,global,1
126.98,medium,10.0,luxury,very_high_risk,never_before_category,44.9,normal,29.0,same_location,foreign_far,new_country,proxy,emulator,132.9,normal,wifi,13,not_provided,not_enrolled,raw_pan_online,2,burst_pattern,late_night_0_5,changed_within_24h,cnp_online,same_day,643,0,CUST_B_0064850,TXN_24_0155154,B_regular,customer_based,1
31.94,low,0.31,electronics,high_risk,no_history,3.1,normal,1.9,same_location,neighboring_country,frequent_travel_country,residential,known_device,35.9,normal,mobile_data,2,cvv2_match,frictionless_pass,raw_pan_manual_entry,0,within_normal,evening_18_24,not_applicable,cnp_online,standard,0,0,GUEST_55_196479,TXN_55_0196479,D_guest,global,0
441.92,medium,10.0,electronics,high_risk,occasional_category,57.0,fast,135.9,short,home_city,same_country,datacenter,spoofed,4.8,bot_speed,datacenter_hosting,6,icvv_match,challenge_pass,raw_pan_manual_entry,4,burst_pattern,late_night_0_5,no_recent_change,cnp_online,overnight,127,0,CUST_C_0016874,TXN_52_0014020,C_new,customer_based,1
6.63,low,1.92,crypto_giftcard,very_high_risk,never_before_category,39.2,normal,7.1,same_location,neighboring_country,new_country,proxy,unknown_device,22.8,very_fast,corporate_vpn,11,icvv_match,challenge_fail,raw_pan_manual_entry,0,within_normal,late_night_0_5,no_recent_change,manual_entry,overnight,530,0,CUST_B_0038318,TXN_33_0141497,B_regular,customer_based,1
352.51,medium,10.0,electronics,high_risk,never_before_category,90.1,fast,191.9,short,neighboring_country,high_risk_country,tor,spoofed,1.8,bot_speed,mobile_data,16,cvv2_mismatch,challenge_fail,raw_pan_manual_entry,1,burst_pattern,afternoon_12_18,changed_1_7d_ago,manual_entry,same_day,43,0,CUST_C_0042964,TXN_45_0145547,C_new,customer_based,1
1279.75,high,10.0,crypto_giftcard,very_high_risk,never_before_category,111.8,fast,52.1,short,foreign_far,new_country,vpn,spoofed,40.2,normal,wifi,11,cvv2_mismatch,not_enrolled,raw_pan_manual_entry,2,burst_pattern,late_night_0_5,changed_1_7d_ago,cnp_online,overnight,774,0,CUST_A_0026299,TXN_2_0221869,A_established,customer_based,1
103.49,medium,3.05,grocery,low_risk,frequent_category,16.3,normal,1.7,same_location,home_city,same_country,residential,known_device,113.7,normal,corporate_vpn,3,not_provided,bypassed,raw_pan_online,0,within_normal,afternoon_12_18,no_recent_change,contactless,overnight,682,1,CUST_B_0083100,TXN_38_0160577,B_regular,customer_based,1
1978.6,high,10.0,electronics,high_risk,never_before_category,1574.9,impossible,7945.5,long,foreign_far,high_risk_country,tor,emulator,0.5,bot_speed,datacenter_hosting,5,cvv2_mismatch,bypassed,raw_pan_online,6,5x_baseline,evening_18_24,changed_1_7d_ago,cnp_moto,overnight,322,0,CUST_B_0025867,TXN_34_0100069,B_regular,customer_based,1
8.51,low,1.77,crypto_giftcard,very_high_risk,never_before_category,1543.2,impossible,2697.9,long,neighboring_country,high_risk_country,proxy,emulator,1.1,bot_speed,mobile_data,6,cvv2_mismatch,bypassed,raw_pan_online,6,2x_baseline,morning_6_12,changed_1_7d_ago,cnp_online,expedited,426,0,CUST_B_0052161,TXN_33_0083096,B_regular,customer_based,1
192.65,medium,9.75,luxury,very_high_risk,no_history,119.0,fast,113.8,short,same_country,high_risk_country,datacenter,unknown_device,27.5,very_fast,corporate_vpn,5,not_provided,challenge_fail,raw_pan_manual_entry,0,burst_pattern,late_night_0_5,not_applicable,cnp_moto,overnight,0,0,GUEST_55_7719,TXN_55_0007719,D_guest,global,1
236.1,medium,6.3,crypto_giftcard,very_high_risk,never_before_category,9.8,normal,45.2,same_location,same_country,high_risk_country,proxy,spoofed,49.2,normal,datacenter_hosting,2,cvv2_mismatch,bypassed,raw_pan_online,4,2x_baseline,evening_18_24,changed_within_24h,cnp_online,overnight,1449,0,CUST_A_0005527,TXN_4_0155502,A_established,customer_based,1
26.48,low,0.56,retail,medium_risk,rare_category,16.2,normal,5.3,same_location,home_city,same_country,residential,new_device,135.3,normal,wifi,2,cvv2_match,frictionless_pass,network_token_wallet,0,2x_baseline,late_night_0_5,no_recent_change,card_present_chip,standard,96,0,CUST_C_0072617,TXN_53_0063997,C_new,customer_based,0
229.06,medium,8.27,crypto_giftcard,very_high_risk,no_history,747.9,impossible,4497.4,long,foreign_far,high_risk_country,tor,spoofed,2.1,bot_speed,corporate_vpn,10,not_provided,not_enrolled,raw_pan_manual_entry,3,burst_pattern,evening_18_24,not_applicable,cnp_online,same_day,0,0,GUEST_59_75260,TXN_59_0075260,D_guest,global,1
